,job_title,Total
0,Data Scientist,143
10,Data Engineer,132
5,Data Analyst,97
4,Machine Learning Engineer,41
14,Research Scientist,16
22,Data Science Manager,12
39,Data Architect,11
2,Big Data Engineer,8
1,Machine Learning Scientist,8
21,Principal Data Scientist,7
19,AI Scientist,7
11,Data Science Consultant,7
13,Director of Data Science,7
36,Data Analytics Manager,7
18,ML Engineer,6
20,Computer Vision Engineer,6
12,BI Data Analyst,6
8,Lead Data Engineer,6
16,Data Engineering Manager,5
7,Business Data Analyst,5
23,Head of Data,5
26,Applied Data Scientist,5
35,Applied Machine Learning Scientist,4
37,Head of Data Science,4
44,Analytics Engineer,4
25,Data Analytics Engineer,4
34,Machine Learning Developer,3
17,Machine Learning Infrastructure Engineer,3
6,Lead Data Scientist,3
30,Computer Vision Software Engineer,3
9,Lead Data Analyst,3
32,Data Science Engineer,3
33,Principal Data Engineer,3
41,Principal Data Analyst,2
45,ETL Developer,2
3,Product Data Analyst,2
31,Director of Data Engineering,2
29,Financial Data Analyst,2
28,Cloud Data Engineer,2
48,Lead Machine Learning Engineer,1
47,NLP Engineer,1
46,Head of Machine Learning,1
24,3D Computer Vision Researcher,1
38,Data Specialist,1
43,Staff Data Scientist,1
42,Big Data Architect,1
40,Finance Data Analyst,1
27,Marketing Data Analyst,1
15,Machine Learning Manager,1
49,Data Analytics Lead,1
